text,true_label,prediction,latency,is_valid,dataset,status
it 's a stunning lyrical work of considerable force and truth . ,positive,positive,5.762937545776367,True,SST-2,success
"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",positive,positive,1.021730661392212,True,SST-2,success
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative,negative,1.2431399822235107,True,SST-2,success
"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ",positive,positive,1.1940586566925049,True,SST-2,success
"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . ",negative,negative,0.9799516201019287,True,SST-2,success
verbinski implements every hack-artist trick to give us the ooky-spookies . ,negative,negative,0.9256985187530518,True,SST-2,success
im thinking well i could be a bit smaller but for health reasons and i should see a doctor more regularly because im feeling crappy,sadness,sadness,1.5743823051452637,True,Emotion,success
i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,joy,joy,1.237583875656128,True,Emotion,success
i feel so damn curious with what this blond doctor plan to do this night,surprise,curiosity,0.8838748931884766,False,Emotion,success
im feeling pretty anxious,fear,fear,0.6553974151611328,True,Emotion,success
i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,love,joy,1.04164457321167,True,Emotion,success
i wake too early so i feel grumpy,anger,anger,0.7137680053710938,True,Emotion,success
"China Closes 1,600 Internet Cafes in Crackdown China shut 1,600 Internet cafes between February and August and imposed \$12.1 million worth of fines for allowing children to play violent or adult-only games and other violations, state media said.",Sci/Tech,Business,2.0283515453338623,True,AG News,success
"Large Explosion Heard in Central Baghdad (Reuters) Reuters - A large blast was heard in central\Baghdad on Thursday, witnesses said.",World,World,1.0548083782196045,True,AG News,success
"Ford: Monthly Sales Drop, Company Looks To New Vehicles Cruising along the ever-stretching road of decline. Auto giant Ford Motor (nyse: F - news - people ) reported vehicle sales in October that fell 5 from a year ago.",Business,Business,1.493854284286499,True,AG News,success
"Agassi Overcomes Verdasco Power  STOCKHOLM (Reuters) - Andre Agassi marched into the  Stockholm Open semifinals Friday, beating Spanish eighth seed  Fernando Verdasco 7-6, 6-2 in his toughest match of the  tournament.",Sports,Sports,1.5997471809387207,True,AG News,success
