example_id,sample_id,difficulty_bin,difficulty_score,input_text,model_size
information_extraction_0,sample_0,0,0.8555341006046875,Extract person name: 'John Smith works at Microsoft' (Example 1),0.5B
information_extraction_1,sample_1,0,1.140135473327911,Extract location: 'The meeting is in New York' (Example 2),0.5B
information_extraction_2,sample_2,0,0.23713997062227554,"Extract date: 'Event scheduled for March 15, 2025' (Example 3)",0.5B
information_extraction_3,sample_3,0,1.2118295028531998,Extract organization: 'Alice is CEO of TechCorp' (Example 4),0.5B
information_extraction_4,sample_4,0,0.530051379115193,Extract all entities: 'Bob visited Paris in 2023' (Example 5),0.5B
information_extraction_5,sample_5,0,0.572028003840206,Extract person name: 'John Smith works at Microsoft' (Example 6),0.5B
information_extraction_6,sample_6,0,0.8872433082177439,Extract location: 'The meeting is in New York' (Example 7),0.5B
information_extraction_7,sample_7,0,0.933002829488667,"Extract date: 'Event scheduled for March 15, 2025' (Example 8)",0.5B
information_extraction_8,sample_8,0,0.36652568371746824,Extract organization: 'Alice is CEO of TechCorp' (Example 9),0.5B
information_extraction_9,sample_9,0,0.596008738727775,Extract all entities: 'Bob visited Paris in 2023' (Example 10),0.5B
information_extraction_10,sample_10,0,0.8015191867254836,Extract person name: 'John Smith works at Microsoft' (Example 11),0.5B
information_extraction_11,sample_11,0,0.6401731996882281,Extract location: 'The meeting is in New York' (Example 12),0.5B
information_extraction_12,sample_12,0,1.2936220977306803,"Extract date: 'Event scheduled for March 15, 2025' (Example 13)",0.5B
information_extraction_13,sample_13,0,0.8923802482612739,Extract organization: 'Alice is CEO of TechCorp' (Example 14),0.5B
information_extraction_14,sample_14,0,1.1525150325539557,Extract all entities: 'Bob visited Paris in 2023' (Example 15),0.5B
information_extraction_15,sample_15,1,2.000801372840097,Extract person name: 'John Smith works at Microsoft' (Example 1),0.5B
information_extraction_16,sample_16,1,2.4775792111782557,Extract location: 'The meeting is in New York' (Example 2),0.5B
information_extraction_17,sample_17,1,3.032652726084488,"Extract date: 'Event scheduled for March 15, 2025' (Example 3)",0.5B
information_extraction_18,sample_18,1,2.6474952608142033,Extract organization: 'Alice is CEO of TechCorp' (Example 4),0.5B
information_extraction_19,sample_19,1,3.2557531161981164,Extract all entities: 'Bob visited Paris in 2023' (Example 5),0.5B
information_extraction_20,sample_20,1,2.827645588261022,Extract person name: 'John Smith works at Microsoft' (Example 6),0.5B
information_extraction_21,sample_21,1,2.1998844430822735,Extract location: 'The meeting is in New York' (Example 7),0.5B
information_extraction_22,sample_22,1,2.5029330734218154,"Extract date: 'Event scheduled for March 15, 2025' (Example 8)",0.5B
information_extraction_23,sample_23,1,2.4898087068854324,Extract organization: 'Alice is CEO of TechCorp' (Example 9),0.5B
information_extraction_24,sample_24,1,3.254140631501957,Extract all entities: 'Bob visited Paris in 2023' (Example 10),0.5B
information_extraction_25,sample_25,1,3.3521047407929307,Extract person name: 'John Smith works at Microsoft' (Example 11),0.5B
information_extraction_26,sample_26,1,2.4084279928673458,Extract location: 'The meeting is in New York' (Example 12),0.5B
information_extraction_27,sample_27,1,3.318043044206025,"Extract date: 'Event scheduled for March 15, 2025' (Example 13)",0.5B
information_extraction_28,sample_28,1,2.220562884551367,Extract organization: 'Alice is CEO of TechCorp' (Example 14),0.5B
information_extraction_29,sample_29,1,2.53348014238364,Extract all entities: 'Bob visited Paris in 2023' (Example 15),0.5B
information_extraction_30,sample_30,2,4.569165138031116,Extract person name: 'John Smith works at Microsoft' (Example 1),0.5B
information_extraction_31,sample_31,2,4.749771428590169,Extract location: 'The meeting is in New York' (Example 2),0.5B
information_extraction_32,sample_32,2,4.3817477133681235,"Extract date: 'Event scheduled for March 15, 2025' (Example 3)",0.5B
information_extraction_33,sample_33,2,4.519283485233704,Extract organization: 'Alice is CEO of TechCorp' (Example 4),0.5B
information_extraction_34,sample_34,2,4.617788793014865,Extract all entities: 'Bob visited Paris in 2023' (Example 5),0.5B
information_extraction_35,sample_35,2,4.923688507186819,Extract person name: 'John Smith works at Microsoft' (Example 6),0.5B
information_extraction_36,sample_36,2,5.031217396957994,Extract location: 'The meeting is in New York' (Example 7),0.5B
information_extraction_37,sample_37,2,5.101510323635673,"Extract date: 'Event scheduled for March 15, 2025' (Example 8)",0.5B
information_extraction_38,sample_38,2,5.468430181899512,Extract organization: 'Alice is CEO of TechCorp' (Example 9),0.5B
information_extraction_39,sample_39,2,5.056238157744349,Extract all entities: 'Bob visited Paris in 2023' (Example 10),0.5B
information_extraction_40,sample_40,2,4.550183027517811,Extract person name: 'John Smith works at Microsoft' (Example 11),0.5B
information_extraction_41,sample_41,2,5.264736628987971,Extract location: 'The meeting is in New York' (Example 12),0.5B
