example_id,sample_id,difficulty_bin,difficulty_score,input_text,model_size
retrieval_grounded_0,sample_0,0,0.4920824937469789,"Based on context, answer: What year was X invented? (Example 1)",0.5B
retrieval_grounded_1,sample_1,0,0.2693539829201888,"Using the provided text, who is the main character? (Example 2)",0.5B
retrieval_grounded_2,sample_2,0,0.6479642512747306,"From the document, what is the capital of France? (Example 3)",0.5B
retrieval_grounded_3,sample_3,0,0.43290806996528547,"According to the passage, what happened first? (Example 4)",0.5B
retrieval_grounded_4,sample_4,0,0.865203726515005,"From the context, what is the definition of X? (Example 5)",0.5B
retrieval_grounded_5,sample_5,0,0.24888388794995359,"Based on context, answer: What year was X invented? (Example 6)",0.5B
retrieval_grounded_6,sample_6,0,0.11419924399194026,"Using the provided text, who is the main character? (Example 7)",0.5B
retrieval_grounded_7,sample_7,0,0.5301203334421,"From the document, what is the capital of France? (Example 8)",0.5B
retrieval_grounded_8,sample_8,0,0.404640867554822,"According to the passage, what happened first? (Example 9)",0.5B
retrieval_grounded_9,sample_9,0,0.6633858888462951,"From the context, what is the definition of X? (Example 10)",0.5B
retrieval_grounded_10,sample_10,0,1.2903939397264916,"Based on context, answer: What year was X invented? (Example 11)",0.5B
retrieval_grounded_11,sample_11,0,0.8896671198794881,"Using the provided text, who is the main character? (Example 12)",0.5B
retrieval_grounded_12,sample_12,0,0.14134924036772967,"From the document, what is the capital of France? (Example 13)",0.5B
retrieval_grounded_13,sample_13,0,0.8628098876143258,"According to the passage, what happened first? (Example 14)",0.5B
retrieval_grounded_14,sample_14,0,1.113935904763863,"From the context, what is the definition of X? (Example 15)",0.5B
retrieval_grounded_15,sample_15,1,3.0035568689846324,"Based on context, answer: What year was X invented? (Example 1)",0.5B
retrieval_grounded_16,sample_16,1,2.4426488567751248,"Using the provided text, who is the main character? (Example 2)",0.5B
retrieval_grounded_17,sample_17,1,2.499859236960044,"From the document, what is the capital of France? (Example 3)",0.5B
retrieval_grounded_18,sample_18,1,3.3451250475128624,"According to the passage, what happened first? (Example 4)",0.5B
retrieval_grounded_19,sample_19,1,2.203521267332943,"From the context, what is the definition of X? (Example 5)",0.5B
retrieval_grounded_20,sample_20,1,2.6158712860965725,"Based on context, answer: What year was X invented? (Example 6)",0.5B
retrieval_grounded_21,sample_21,1,2.1711658023522444,"Using the provided text, who is the main character? (Example 7)",0.5B
retrieval_grounded_22,sample_22,1,3.190207702834898,"From the document, what is the capital of France? (Example 8)",0.5B
retrieval_grounded_23,sample_23,1,3.2871005720789412,"According to the passage, what happened first? (Example 9)",0.5B
retrieval_grounded_24,sample_24,1,3.2728930661563442,"From the context, what is the definition of X? (Example 10)",0.5B
retrieval_grounded_25,sample_25,1,3.130646805223222,"Based on context, answer: What year was X invented? (Example 11)",0.5B
retrieval_grounded_26,sample_26,1,2.078002650176269,"Using the provided text, who is the main character? (Example 12)",0.5B
retrieval_grounded_27,sample_27,1,2.797119954722265,"From the document, what is the capital of France? (Example 13)",0.5B
retrieval_grounded_28,sample_28,1,2.4288583476511834,"According to the passage, what happened first? (Example 14)",0.5B
retrieval_grounded_29,sample_29,1,3.0015195208751804,"From the context, what is the definition of X? (Example 15)",0.5B
