dataset,text,true_label,prediction,latency,is_valid,status
SST-2,it 's a stunning lyrical work of considerable force and truth . ,positive,negative,0.9274575710296631,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
SST-2,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",positive,positive,0.7158842086791992,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
SST-2,"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative,negative,0.7160758972167969,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
SST-2,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ",positive,negative,0.5906102657318115,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
SST-2,"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . ",negative,negative,0.7347652912139893,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
SST-2,verbinski implements every hack-artist trick to give us the ooky-spookies . ,negative,negative,0.5934104919433594,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
Emotion,im thinking well i could be a bit smaller but for health reasons and i should see a doctor more regularly because im feeling crappy,sadness,sadness,0.5955822467803955,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
Emotion,i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,joy,sadness,0.7351207733154297,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
Emotion,i feel so damn curious with what this blond doctor plan to do this night,surprise,sadness,0.7075111865997314,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
Emotion,im feeling pretty anxious,fear,sadness,0.7039990425109863,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
Emotion,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,love,joy,0.5966193675994873,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
Emotion,i wake too early so i feel grumpy,anger,grumpiness,0.7311949729919434,False,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
AG News,"China Closes 1,600 Internet Cafes in Crackdown China shut 1,600 Internet cafes between February and August and imposed \$12.1 million worth of fines for allowing children to play violent or adult-only games and other violations, state media said.",Sci/Tech,World,0.7328910827636719,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
AG News,"Large Explosion Heard in Central Baghdad (Reuters) Reuters - A large blast was heard in central\Baghdad on Thursday, witnesses said.",World,World,0.7173008918762207,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
AG News,"Ford: Monthly Sales Drop, Company Looks To New Vehicles Cruising along the ever-stretching road of decline. Auto giant Ford Motor (nyse: F - news - people ) reported vehicle sales in October that fell 5 from a year ago.",Business,Business,0.7163519859313965,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
AG News,"Agassi Overcomes Verdasco Power  STOCKHOLM (Reuters) - Andre Agassi marched into the  Stockholm Open semifinals Friday, beating Spanish eighth seed  Fernando Verdasco 7-6, 6-2 in his toughest match of the  tournament.",Sports,Sports,0.6432511806488037,True,success:hf_api:meta-llama/Llama-3.2-1B-Instruct
