dataset,text,true_label,prediction,latency,is_valid,status
SST-2,it 's a stunning lyrical work of considerable force and truth . ,positive,positive,3.540832281112671,True,success:gemini-3.1-flash-lite-preview
SST-2,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",positive,positive,0.8376073837280273,True,success:gemini-3.1-flash-lite-preview
SST-2,"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative,negative,0.6240606307983398,True,success:gemini-3.1-flash-lite-preview
SST-2,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ",positive,positive,0.5738112926483154,True,success:gemini-3.1-flash-lite-preview
SST-2,"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . ",negative,negative,0.7518310546875,True,success:gemini-3.1-flash-lite-preview
SST-2,verbinski implements every hack-artist trick to give us the ooky-spookies . ,negative,negative,0.6297309398651123,True,success:gemini-3.1-flash-lite-preview
Emotion,im thinking well i could be a bit smaller but for health reasons and i should see a doctor more regularly because im feeling crappy,sadness,sadness,0.6002829074859619,True,success:gemini-3.1-flash-lite-preview
Emotion,i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,joy,,600.0534567832947,False,error: 504 Deadline expired before operation could complete.
Emotion,i feel so damn curious with what this blond doctor plan to do this night,surprise,surprise,0.717083215713501,True,success:gemini-3.1-flash-lite-preview
Emotion,im feeling pretty anxious,fear,fear,0.6625199317932129,True,success:gemini-3.1-flash-lite-preview
Emotion,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,love,joy,0.5924460887908936,True,success:gemini-3.1-flash-lite-preview
Emotion,i wake too early so i feel grumpy,anger,anger,0.734931468963623,True,success:gemini-3.1-flash-lite-preview
AG News,"China Closes 1,600 Internet Cafes in Crackdown China shut 1,600 Internet cafes between February and August and imposed \$12.1 million worth of fines for allowing children to play violent or adult-only games and other violations, state media said.",Sci/Tech,Sci/Tech,1.3160383701324463,True,success:gemini-3.1-flash-lite-preview
AG News,"Large Explosion Heard in Central Baghdad (Reuters) Reuters - A large blast was heard in central\Baghdad on Thursday, witnesses said.",World,World,0.6544315814971924,True,success:gemini-3.1-flash-lite-preview
AG News,"Ford: Monthly Sales Drop, Company Looks To New Vehicles Cruising along the ever-stretching road of decline. Auto giant Ford Motor (nyse: F - news - people ) reported vehicle sales in October that fell 5 from a year ago.",Business,Business,0.8730640411376953,True,success:gemini-3.1-flash-lite-preview
AG News,"Agassi Overcomes Verdasco Power  STOCKHOLM (Reuters) - Andre Agassi marched into the  Stockholm Open semifinals Friday, beating Spanish eighth seed  Fernando Verdasco 7-6, 6-2 in his toughest match of the  tournament.",Sports,Sports,0.6945929527282715,True,success:gemini-3.1-flash-lite-preview
