text,true_label,prediction,latency,is_valid,dataset,status
it 's a stunning lyrical work of considerable force and truth . ,positive,positive,1.0919673442840576,True,SST-2,success:gemini-3.1-flash-lite-preview
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative,negative,0.8304164409637451,True,SST-2,success:gemini-3.1-flash-lite-preview
im thinking well i could be a bit smaller but for health reasons and i should see a doctor more regularly because im feeling crappy,sadness,sadness,0.7892491817474365,True,Emotion,success:gemini-3.1-flash-lite-preview
i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,joy,joy,0.8284702301025391,True,Emotion,success:gemini-3.1-flash-lite-preview
i feel so damn curious with what this blond doctor plan to do this night,surprise,surprise,0.5156002044677734,True,Emotion,success:gemini-3.1-flash-lite-preview
im feeling pretty anxious,fear,fear,1.4173429012298584,True,Emotion,success:gemini-3.1-flash-lite-preview
i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,love,joy,0.7198226451873779,True,Emotion,success:gemini-3.1-flash-lite-preview
i wake too early so i feel grumpy,anger,anger,0.7186295986175537,True,Emotion,success:gemini-3.1-flash-lite-preview
"China Closes 1,600 Internet Cafes in Crackdown China shut 1,600 Internet cafes between February and August and imposed \$12.1 million worth of fines for allowing children to play violent or adult-only games and other violations, state media said.",Sci/Tech,Sci/Tech,0.6483254432678223,True,AG News,success:gemini-3.1-flash-lite-preview
"Large Explosion Heard in Central Baghdad (Reuters) Reuters - A large blast was heard in central\Baghdad on Thursday, witnesses said.",World,World,0.886350154876709,True,AG News,success:gemini-3.1-flash-lite-preview
"Ford: Monthly Sales Drop, Company Looks To New Vehicles Cruising along the ever-stretching road of decline. Auto giant Ford Motor (nyse: F - news - people ) reported vehicle sales in October that fell 5 from a year ago.",Business,Business,0.9140892028808594,True,AG News,success:gemini-3.1-flash-lite-preview
"Agassi Overcomes Verdasco Power  STOCKHOLM (Reuters) - Andre Agassi marched into the  Stockholm Open semifinals Friday, beating Spanish eighth seed  Fernando Verdasco 7-6, 6-2 in his toughest match of the  tournament.",Sports,Sports,1.418689250946045,True,AG News,success:gemini-3.1-flash-lite-preview
