example_id,sample_id,difficulty_bin,difficulty_score,input_text,model_size
text_generation_0,sample_0,0,0.1294104830342454,Explain quantum computing in simple terms (Example 1),0.5B
text_generation_1,sample_1,0,1.203539140568656,What are the benefits of renewable energy? (Example 2),0.5B
text_generation_2,sample_2,0,0.8929973071509202,Describe the process of photosynthesis (Example 3),0.5B
text_generation_3,sample_3,0,0.2637292475281438,Write a short story about a robot (Example 4),0.5B
text_generation_4,sample_4,0,1.208539723855592,Explain what machine learning is (Example 5),0.5B
text_generation_5,sample_5,0,0.8020425012264127,Explain quantum computing in simple terms (Example 6),0.5B
text_generation_6,sample_6,0,0.45820060800492873,What are the benefits of renewable energy? (Example 7),0.5B
text_generation_7,sample_7,0,1.2940880633998237,Describe the process of photosynthesis (Example 8),0.5B
text_generation_8,sample_8,0,0.5542428227065781,Write a short story about a robot (Example 9),0.5B
text_generation_9,sample_9,0,0.6296337765937555,Explain what machine learning is (Example 10),0.5B
text_generation_10,sample_10,0,1.1068298243042025,Explain quantum computing in simple terms (Example 11),0.5B
text_generation_11,sample_11,0,1.009239383573334,What are the benefits of renewable energy? (Example 12),0.5B
text_generation_12,sample_12,0,0.14639251798193642,Describe the process of photosynthesis (Example 13),0.5B
text_generation_13,sample_13,0,1.339324956570512,Write a short story about a robot (Example 14),0.5B
text_generation_14,sample_14,0,1.1782534856005074,Explain what machine learning is (Example 15),0.5B
text_generation_15,sample_15,1,2.137845413354447,Explain quantum computing in simple terms (Example 1),0.5B
text_generation_16,sample_16,1,2.8647649227392966,What are the benefits of renewable energy? (Example 2),0.5B
text_generation_17,sample_17,1,2.5409237834573033,Describe the process of photosynthesis (Example 3),0.5B
text_generation_18,sample_18,1,2.716952036915254,Write a short story about a robot (Example 4),0.5B
text_generation_19,sample_19,1,2.844530763379703,Explain what machine learning is (Example 5),0.5B
text_generation_20,sample_20,1,3.2376346939066423,Explain quantum computing in simple terms (Example 6),0.5B
text_generation_21,sample_21,1,2.8829021776391093,What are the benefits of renewable energy? (Example 7),0.5B
text_generation_22,sample_22,1,2.8811173895830215,Describe the process of photosynthesis (Example 8),0.5B
text_generation_23,sample_23,1,2.0297028413861478,Write a short story about a robot (Example 9),0.5B
text_generation_24,sample_24,1,2.3186325356093946,Explain what machine learning is (Example 10),0.5B
text_generation_25,sample_25,1,2.467096366791855,Explain quantum computing in simple terms (Example 11),0.5B
text_generation_26,sample_26,1,3.392317025903549,What are the benefits of renewable energy? (Example 12),0.5B
text_generation_27,sample_27,1,2.3610969325672153,Describe the process of photosynthesis (Example 13),0.5B
text_generation_28,sample_28,1,2.9346111419602883,Write a short story about a robot (Example 14),0.5B
text_generation_29,sample_29,1,2.703024268934306,Explain what machine learning is (Example 15),0.5B
text_generation_30,sample_30,2,4.731082381197321,Explain quantum computing in simple terms (Example 1),0.5B
text_generation_31,sample_31,2,5.123006865856654,What are the benefits of renewable energy? (Example 2),0.5B
text_generation_32,sample_32,2,4.111293974939446,Describe the process of photosynthesis (Example 3),0.5B
text_generation_33,sample_33,2,4.14669906118021,Write a short story about a robot (Example 4),0.5B
text_generation_34,sample_34,2,4.748856950743772,Explain what machine learning is (Example 5),0.5B
text_generation_35,sample_35,2,5.286617385777673,Explain quantum computing in simple terms (Example 6),0.5B
text_generation_36,sample_36,2,4.184568948209871,What are the benefits of renewable energy? (Example 7),0.5B
text_generation_37,sample_37,2,5.497339267047376,Describe the process of photosynthesis (Example 8),0.5B
text_generation_38,sample_38,2,4.807562411101984,Write a short story about a robot (Example 9),0.5B
text_generation_39,sample_39,2,5.296701188153514,Explain what machine learning is (Example 10),0.5B
text_generation_40,sample_40,2,4.883032760008128,Explain quantum computing in simple terms (Example 11),0.5B
text_generation_41,sample_41,2,4.228766992831569,What are the benefits of renewable energy? (Example 12),0.5B
text_generation_42,sample_42,2,5.183071743901497,Describe the process of photosynthesis (Example 13),0.5B
text_generation_43,sample_43,2,4.029826915834881,Write a short story about a robot (Example 14),0.5B
text_generation_44,sample_44,2,4.259815144141251,Explain what machine learning is (Example 15),0.5B
text_generation_45,sample_45,3,7.222404232287712,Explain quantum computing in simple terms (Example 1),0.5B
text_generation_46,sample_46,3,6.626149846223864,What are the benefits of renewable energy? (Example 2),0.5B
text_generation_47,sample_47,3,7.459321777574013,Describe the process of photosynthesis (Example 3),0.5B
text_generation_48,sample_48,3,6.2094245659008145,Write a short story about a robot (Example 4),0.5B
text_generation_49,sample_49,3,6.5315550970728635,Explain what machine learning is (Example 5),0.5B
text_generation_50,sample_50,3,6.480841647319958,Explain quantum computing in simple terms (Example 6),0.5B
text_generation_51,sample_51,3,6.316561393170916,What are the benefits of renewable energy? (Example 7),0.5B
text_generation_52,sample_52,3,6.464950796124858,Describe the process of photosynthesis (Example 8),0.5B
text_generation_53,sample_53,3,6.664412148209395,Write a short story about a robot (Example 9),0.5B
text_generation_54,sample_54,3,6.249895621419731,Explain what machine learning is (Example 10),0.5B
text_generation_55,sample_55,3,6.631915339850745,Explain quantum computing in simple terms (Example 11),0.5B
text_generation_56,sample_56,3,7.060611020434056,What are the benefits of renewable energy? (Example 12),0.5B
text_generation_57,sample_57,3,7.073030018637002,Describe the process of photosynthesis (Example 13),0.5B
text_generation_58,sample_58,3,7.285066047732132,Write a short story about a robot (Example 14),0.5B
text_generation_59,sample_59,3,7.085846983271104,Explain what machine learning is (Example 15),0.5B
text_generation_60,sample_60,4,8.11056969452153,Explain quantum computing in simple terms (Example 1),0.5B
text_generation_61,sample_61,4,9.20978526700719,What are the benefits of renewable energy? (Example 2),0.5B
text_generation_62,sample_62,4,8.880622450166054,Describe the process of photosynthesis (Example 3),0.5B
text_generation_63,sample_63,4,9.084611249212408,Write a short story about a robot (Example 4),0.5B
text_generation_64,sample_64,4,8.938247449225802,Explain what machine learning is (Example 5),0.5B
text_generation_65,sample_65,4,8.133586370986453,Explain quantum computing in simple terms (Example 6),0.5B
text_generation_66,sample_66,4,8.746794852292227,What are the benefits of renewable energy? (Example 7),0.5B
text_generation_67,sample_67,4,8.50593309785404,Describe the process of photosynthesis (Example 8),0.5B
text_generation_68,sample_68,4,8.067877502964517,Write a short story about a robot (Example 9),0.5B
text_generation_69,sample_69,4,8.697159850808696,Explain what machine learning is (Example 10),0.5B
text_generation_70,sample_70,4,8.317244324023088,Explain quantum computing in simple terms (Example 11),0.5B
text_generation_71,sample_71,4,8.857485166574014,What are the benefits of renewable energy? (Example 12),0.5B
text_generation_72,sample_72,4,8.912813468810175,Describe the process of photosynthesis (Example 13),0.5B
text_generation_73,sample_73,4,8.71357477648783,Write a short story about a robot (Example 14),0.5B
text_generation_74,sample_74,4,8.866578849700387,Explain what machine learning is (Example 15),0.5B
