task,display_name,hash_split_policy,report_split,threshold_split,tau_star_difficulty,split_contract_ok,frozen_policy_check,train_curve_row_count,val_threshold_row_count,report_row_count,leakage_violations,pass_operating_gate,n_rows,coverage_slm,coverage_slm_or_hybrid,selected_capability,selected_risk,utility,precision,precision_ci90_lo,precision_ci90_hi,recall,recall_ci90_lo,recall_ci90_hi,f1,f1_ci90_lo,f1_ci90_hi,accuracy,accuracy_ci90_lo,accuracy_ci90_hi,capability_ece,capability_brier,risk_ece,risk_brier,selected_capability_ci90_lo,selected_capability_ci90_hi,selected_risk_ci90_lo,selected_risk_ci90_hi,utility_ci90_lo,utility_ci90_hi,always_slm_accuracy,always_baseline_accuracy,delta_accuracy_vs_always_slm,delta_accuracy_vs_always_baseline,mcnemar_p_policy_vs_always_slm,mcnemar_p_policy_vs_always_slm_holm,mcnemar_p_policy_vs_always_baseline,mcnemar_p_policy_vs_always_baseline_holm,utility_always_slm,utility_always_baseline,delta_utility_vs_always_slm,delta_utility_vs_always_baseline
classification,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,35,160,35,,False,35,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4857142857142857,0.34285714285714286,0.6285714285714286,0.04330857142857142,0.1707965062857143,0.024242857142857153,0.05355828199999999,0.0,0.0,1.0,1.0,-1.0,-1.0,0.5142857142857142,0.4857142857142857,-0.028571428571428525,0.0,1.0,1.0,1.0,1.0,0.8565714285714285,-1.0,-1.8565714285714285,0.0
classification,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,120,160,120,,False,120,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.375,0.5166666666666667,0.09739083333333326,0.11045174741666668,0.054492499999999916,0.031120507583333328,0.0,0.0,1.0,1.0,-1.0,-1.0,0.55,0.45,-0.10000000000000003,0.0,0.3153024520817455,1.0,1.0,1.0,0.8905,-1.0,-1.8904999999999998,0.0
classification,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,120,160,120,,False,120,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.45,0.592083333333333,0.02031249999999995,0.24422299124999997,0.010997499999999995,0.07521443725,0.0,0.0,1.0,1.0,-1.0,-1.0,0.475,0.525,0.050000000000000044,0.0,0.6480768681391462,1.0,1.0,1.0,0.8280833333333333,-1.0,-1.8280833333333333,0.0
classification,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,120,160,120,,False,120,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4083333333333333,0.3333333333333333,0.475,0.050736666666666666,0.1995996105,0.028257500000000022,0.06259435324999998,0.0,0.0,1.0,1.0,-1.0,-1.0,0.5916666666666667,0.4083333333333333,-0.18333333333333335,0.0,0.05523425371806384,0.8837480594890215,1.0,1.0,0.91925,-1.0,-1.91925,0.0
code_generation,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,118,171,118,,False,118,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1930000000000001,0.037249,0.3683000000000003,0.13564489,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,4.7326982919297275e-27,1.4671364704982155e-25,1.0,1.0,0.64,-1.0,-1.6400000000000001,0.0
code_generation,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,50,171,50,,False,50,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,0.72,0.18369599999999994,0.165230822,0.130404,0.13457942879999998,0.0,0.0,1.0,1.0,-1.0,-1.0,0.4,0.6,0.19999999999999996,0.0,0.20309178757716786,1.0,1.0,1.0,0.5585,-1.0,-1.5585,0.0
code_generation,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.113117,True,True,118,171,118,,False,118,0.0847457627118644,0.0847457627118644,0.5,0.45125000000000004,-0.24150423728813564,0.5,0.2222222222222222,0.75,0.13513513513513514,0.05227272727272729,0.2222222222222222,0.21276595744680854,0.08308823529411767,0.32653061224489793,0.6864406779661016,0.6186440677966102,0.7542372881355932,0.08536016949152542,0.13984611449152548,0.06478983050847471,0.11390582457627117,0.2222222222222222,0.75,0.225625,0.7019444444444445,-0.5701177024482109,0.02967161016949152,0.3135593220338983,0.6864406779661016,0.37288135593220334,0.0,3.508398931737147e-05,0.0008770997329342867,0.7518296340458492,1.0,0.45887711864406755,-1.0,-0.7003813559322032,0.7584957627118644
code_generation,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.128324,True,True,118,171,118,,True,118,0.13559322033898305,0.13559322033898305,0.875,0.1128125,0.24153072033898304,0.875,0.7138655462184874,1.0,0.32558139534883723,0.2222222222222222,0.45652173913043476,0.47457627118644063,0.3404255319148936,0.6060606060606061,0.7372881355932204,0.6775423728813559,0.8050847457627118,0.06826864406779659,0.1318892183898305,0.07561440677966101,0.10742796822033897,0.7138655462184874,1.0,0.0,0.25823634453781474,0.039358353510895894,0.37746542758089335,0.3644067796610169,0.635593220338983,0.37288135593220345,0.10169491525423735,2.066014236747514e-05,0.0005371637015543537,0.005959526470109115,0.1240132221844583,0.517478813559322,-1.0,-0.275948093220339,1.2415307203389832
information_extraction,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.432732,True,True,69,105,69,,True,69,0.13043478260869565,0.13043478260869565,0.7777777777777778,0.13333333333333336,0.19154589371980674,0.7777777777777778,0.5,1.0,0.16666666666666666,0.07142857142857142,0.27284090909090897,0.2745098039215686,0.1276595744680851,0.41509433962264153,0.463768115942029,0.36231884057971014,0.5652173913043478,0.07650289855072458,0.23451290999999996,0.045897101449275404,0.0844277410144928,0.5,1.0,0.0,0.30000000000000004,-0.05905797101449278,0.3804347826086957,0.6086956521739131,0.391304347826087,-0.1449275362318841,0.07246376811594202,0.24527811680677283,1.0,0.18242243945173575,1.0,0.9173913043478261,-1.0,-0.7258454106280194,1.1915458937198067
information_extraction,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.412931,True,True,23,105,23,,True,23,0.2608695652173913,0.2608695652173913,1.0,0.0,0.5108695652173914,1.0,1.0,1.0,0.3333333333333333,0.1362121212121212,0.5219679633867275,0.5,0.23976470588235296,0.6859113300492609,0.4782608695652174,0.30434782608695654,0.6521739130434783,0.09350434782608696,0.18251418173913042,0.05609999999999996,0.0656975134782609,1.0,1.0,0.0,0.0,0.33695652173913043,0.6413043478260869,0.782608695652174,0.21739130434782608,-0.30434782608695654,0.26086956521739135,0.14561009539686698,1.0,0.041226833337163676,0.7420830000689462,1.0652173913043477,-1.0,-0.5543478260869563,1.5108695652173914
