text,true_label,prediction,latency,is_valid,dataset,status
part low rent godfather . ,negative,,0.02815389633178711,False,SST-2,error: model 'phi3' not found (status code: 404)
the heavy-handed film is almost laughable as a consequence . ,negative,,0.019605636596679688,False,SST-2,error: model 'phi3' not found (status code: 404)
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",negative,,0.016988754272460938,False,SST-2,error: model 'phi3' not found (status code: 404)
manages to be both repulsively sadistic and mundane . ,negative,,0.007766008377075195,False,SST-2,error: model 'phi3' not found (status code: 404)
"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",negative,,0.0071179866790771484,False,SST-2,error: model 'phi3' not found (status code: 404)
"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards . ",negative,,0.006536006927490234,False,SST-2,error: model 'phi3' not found (status code: 404)
and that leaves a hole in the center of the salton sea . ,negative,,0.007676601409912109,False,SST-2,error: model 'phi3' not found (status code: 404)
that 's pure pr hype . ,negative,,0.0064733028411865234,False,SST-2,error: model 'phi3' not found (status code: 404)
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,negative,,0.008347749710083008,False,SST-2,error: model 'phi3' not found (status code: 404)
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",negative,,0.008582115173339844,False,SST-2,error: model 'phi3' not found (status code: 404)
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",negative,,0.006833791732788086,False,SST-2,error: model 'phi3' not found (status code: 404)
the character of zigzag is not sufficiently developed to support a film constructed around him . ,negative,,0.006014823913574219,False,SST-2,error: model 'phi3' not found (status code: 404)
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ",negative,,0.00783228874206543,False,SST-2,error: model 'phi3' not found (status code: 404)
"despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine . ",negative,,0.00681757926940918,False,SST-2,error: model 'phi3' not found (status code: 404)
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,negative,,0.006901979446411133,False,SST-2,error: model 'phi3' not found (status code: 404)
