model_name,model_display,model_params,model_type,bin,bin_name,accuracy,latency_ms,cost_per_1k_tokens,cost_per_accuracy_point,quality_score,speed_score,cost_score,composite_score
tinyllama_1.1b,TinyLLaMA,0.5,SLM-Local,0,Easy,0.9333333333333332,5317.771863937378,0.0,0.0,0.9333333333333332,0.0018804868384473743,1000.0,200.56037609736768
tinyllama_1.1b,TinyLLaMA,0.5,SLM-Local,1,Medium,1.0,5982.945005098978,0.0,0.0,1.0,0.001671417669973145,1000.0,200.60033428353398
tinyllama_1.1b,TinyLLaMA,0.5,SLM-Local,2,Hard,0.9333333333333332,5372.926529248556,0.0,0.0,0.9333333333333332,0.0018611830899907308,1000.0,200.560372236618
tinyllama_1.1b,TinyLLaMA,0.5,SLM-Local,3,Very Hard,0.9333333333333332,4735.812791188558,0.0,0.0,0.9333333333333332,0.0021115699544977744,1000.0,200.5604223139909
tinyllama_1.1b,TinyLLaMA,0.5,SLM-Local,4,Hardest,1.0,5455.961473782858,0.0,0.0,1.0,0.0018328575170576784,1000.0,200.6003665715034
qwen2.5_1.5b,Qwen2.5,1.5,SLM-Local,0,Easy,0.9,6863.003788391749,0.0,0.0,0.9,0.0014570879323881826,1000.0,200.54029141758647
qwen2.5_1.5b,Qwen2.5,1.5,SLM-Local,1,Medium,0.925,6344.473298390706,0.0,0.0,0.925,0.0015761749683045447,1000.0,200.55531523499366
qwen2.5_1.5b,Qwen2.5,1.5,SLM-Local,2,Hard,0.925,6734.1806054115295,0.0,0.0,0.925,0.0014849616584331116,1000.0,200.55529699233168
qwen2.5_1.5b,Qwen2.5,1.5,SLM-Local,3,Very Hard,0.9333333333333332,9242.283038298288,0.0,0.0,0.9333333333333332,0.0010819837434713777,1000.0,200.5602163967487
qwen2.5_1.5b,Qwen2.5,1.5,SLM-Local,4,Hardest,0.9416666666666668,6258.94009868304,0.0,0.0,0.9416666666666668,0.0015977146038039453,1000.0,200.56531954292075
phi3_mini,Phi-3,3.8,SLM-Local,0,Easy,0.7416666666666667,10975.699396058915,0.0,0.0,0.7416666666666667,0.000911103669948426,1000.0,200.44518222073398
phi3_mini,Phi-3,3.8,SLM-Local,1,Medium,0.7845238095238095,10994.924043047997,0.0,0.0,0.7845238095238095,0.0009095106033336284,1000.0,200.47089618783494
phi3_mini,Phi-3,3.8,SLM-Local,2,Hard,0.725,11108.600399891537,0.0,0.0,0.725,0.0009002034135729321,1000.0,200.43518004068272
phi3_mini,Phi-3,3.8,SLM-Local,3,Very Hard,0.7416666666666667,10380.168811480204,0.0,0.0,0.7416666666666667,0.0009633754692833372,1000.0,200.44519267509386
phi3_mini,Phi-3,3.8,SLM-Local,4,Hardest,0.7959183673469388,19525.15168773885,0.0,0.0,0.7959183673469388,0.0005121599135273131,1000.0,200.47765345239088
groq_mixtral-8x7b-32768,Mixtral-8x7B,45.0,Medium-Cloud,0,Easy,0.0,2.0,0.27,0.0,0.0,5.0,3.571428571428571,1.7142857142857144
groq_mixtral-8x7b-32768,Mixtral-8x7B,45.0,Medium-Cloud,1,Medium,0.0,2.0,0.27,0.0,0.0,5.0,3.571428571428571,1.7142857142857144
groq_mixtral-8x7b-32768,Mixtral-8x7B,45.0,Medium-Cloud,2,Hard,0.0,2.0,0.27,0.0,0.0,5.0,3.571428571428571,1.7142857142857144
groq_mixtral-8x7b-32768,Mixtral-8x7B,45.0,Medium-Cloud,3,Very Hard,0.0,2.0,0.27,0.0,0.0,5.0,3.571428571428571,1.7142857142857144
groq_mixtral-8x7b-32768,Mixtral-8x7B,45.0,Medium-Cloud,4,Hardest,0.0,2.0,0.27,0.0,0.0,5.0,3.571428571428571,1.7142857142857144
llama_llama-3.3-70b-versatile,Llama-3.3-70B,70.0,LLM-Cloud,0,Easy,0.6833333333333333,2963.619303703308,0.4,0.5853658536585367,0.6833333333333333,0.003374252552446295,2.4390243902439024,0.8984797285592697
llama_llama-3.3-70b-versatile,Llama-3.3-70B,70.0,LLM-Cloud,1,Medium,0.6833333333333333,3142.333507537842,0.4,0.5853658536585367,0.6833333333333333,0.003182348396824195,2.4390243902439024,0.8984413477281452
llama_llama-3.3-70b-versatile,Llama-3.3-70B,70.0,LLM-Cloud,2,Hard,0.6916666666666667,3263.194102048874,0.4,0.5783132530120482,0.6916666666666667,0.0030644821261846676,2.4390243902439024,0.9034177744740174
llama_llama-3.3-70b-versatile,Llama-3.3-70B,70.0,LLM-Cloud,3,Very Hard,0.6666666666666667,3366.051729520162,0.4,0.6,0.6666666666666667,0.0029708396672280257,2.4390243902439024,0.8883990459822261
llama_llama-3.3-70b-versatile,Llama-3.3-70B,70.0,LLM-Cloud,4,Hardest,0.675,3317.1251078446708,0.4,0.5925925925925926,0.675,0.0030146586802984893,2.4390243902439024,0.8934078097848401
