task,model_name,n_rows,n_failures,failure_rate,avg_semantic_risk,avg_failure_harm,top_failure_1,top_failure_1_count,top_failure_2,top_failure_2_count,top_failure_3,top_failure_3_count
classification,groq:llama-3.3-70b-versatile,20,0,0.0,0.0,0.0,,0,,0,,0
classification,phi3:mini,20,0,0.0,0.0,0.0,,0,,0,,0
classification,qwen2.5:1.5b,20,3,0.15,0.09600000000000002,0.6400000000000001,wrong_label,3,,0,,0
classification,tinyllama:1.1b,20,2,0.1,0.06400000000000002,0.6400000000000001,wrong_label,2,,0,,0
code_generation,groq:llama-3.3-70b-versatile,20,0,0.0,0.0,0.0,,0,,0,,0
code_generation,phi3:mini,20,5,0.25,0.137125,0.5485,logic_error,3,format_error,2,,0
code_generation,qwen2.5:1.5b,20,4,0.2,0.1615,0.8075,logic_error,4,,0,,0
code_generation,tinyllama:1.1b,20,4,0.2,0.1615,0.8075,logic_error,4,,0,,0
information_extraction,groq:llama-3.3-70b-versatile,20,0,0.0,0.0,0.0,,0,,0,,0
information_extraction,phi3:mini,20,1,0.05,0.010125,0.2025,missing_field,1,,0,,0
information_extraction,qwen2.5:1.5b,20,1,0.05,0.010125,0.2025,missing_field,1,,0,,0
information_extraction,tinyllama:1.1b,20,2,0.1,0.02025,0.2025,missing_field,2,,0,,0
instruction_following,groq:llama-3.3-70b-versatile,20,1,0.05,0.024499999999999997,0.48999999999999994,constraint_violation,1,,0,,0
instruction_following,phi3:mini,20,7,0.35,0.17149999999999996,0.4899999999999999,constraint_violation,7,,0,,0
instruction_following,qwen2.5:1.5b,20,5,0.25,0.12249999999999998,0.48999999999999994,constraint_violation,5,,0,,0
instruction_following,tinyllama:1.1b,20,10,0.5,0.24499999999999997,0.48999999999999994,constraint_violation,10,,0,,0
maths,groq:llama-3.3-70b-versatile,20,2,0.1,0.07200000000000001,0.7200000000000001,arithmetic_error,2,,0,,0
maths,phi3:mini,20,6,0.3,0.21600000000000003,0.7200000000000001,arithmetic_error,6,,0,,0
maths,qwen2.5:1.5b,20,12,0.6,0.43199999999999994,0.7200000000000001,arithmetic_error,12,,0,,0
maths,tinyllama:1.1b,20,18,0.9,0.6480000000000001,0.7200000000000001,arithmetic_error,18,,0,,0
retrieval_grounded,groq:llama-3.3-70b-versatile,20,0,0.0,0.0,0.0,,0,,0,,0
retrieval_grounded,phi3:mini,20,3,0.15,0.07,0.46666666666666673,answer_mismatch,2,no_answer,1,,0
retrieval_grounded,qwen2.5:1.5b,20,0,0.0,0.0,0.0,,0,,0,,0
retrieval_grounded,tinyllama:1.1b,20,4,0.2,0.10400000000000001,0.52,answer_mismatch,3,no_answer,1,,0
summarization,groq:llama-3.3-70b-versatile,20,1,0.05,0.020999999999999998,0.42,low_relevance,1,,0,,0
summarization,phi3:mini,20,2,0.1,0.041999999999999996,0.42,low_relevance,2,,0,,0
summarization,qwen2.5:1.5b,20,7,0.35,0.147,0.42,low_relevance,7,,0,,0
summarization,tinyllama:1.1b,20,5,0.25,0.10500000000000001,0.41999999999999993,low_relevance,5,,0,,0
text_generation,groq:llama-3.3-70b-versatile,19,1,0.05263157894736842,0.022105263157894735,0.42,low_relevance,1,,0,,0
text_generation,phi3:mini,19,5,0.2631578947368421,0.1105263157894737,0.41999999999999993,low_relevance,5,,0,,0
text_generation,qwen2.5:1.5b,19,10,0.5263157894736842,0.2210526315789474,0.41999999999999993,low_relevance,10,,0,,0
text_generation,tinyllama:1.1b,19,4,0.21052631578947367,0.08842105263157894,0.42,low_relevance,4,,0,,0
