task,sample_id,llama70b,qwen0.5b,qwen3b,qwen7b
code_generation,code_generation_0001,False,False,False,False
code_generation,code_generation_0002,True,False,False,True
code_generation,code_generation_0003,False,False,False,False
code_generation,code_generation_0005,False,False,False,False
code_generation,code_generation_0009,False,False,True,True
code_generation,code_generation_0013,True,False,True,True
code_generation,code_generation_0017,False,False,False,False
code_generation,code_generation_0028,False,False,False,False
code_generation,code_generation_0029,True,False,True,False
code_generation,code_generation_0030,False,False,False,False
code_generation,code_generation_0031,False,False,False,False
code_generation,code_generation_0032,True,False,True,True
code_generation,code_generation_0036,True,False,True,True
code_generation,code_generation_0038,False,False,False,False
code_generation,code_generation_0040,False,False,False,False
code_generation,code_generation_0042,False,False,False,False
code_generation,code_generation_0048,False,False,False,False
code_generation,code_generation_0051,True,False,True,False
code_generation,code_generation_0056,False,False,False,False
code_generation,code_generation_0061,False,False,False,False
code_generation,code_generation_0065,False,False,True,False
code_generation,code_generation_0067,False,False,False,False
code_generation,code_generation_0071,False,False,False,False
code_generation,code_generation_0074,True,False,True,True
code_generation,code_generation_0077,False,False,False,False
code_generation,code_generation_0080,False,False,False,False
code_generation,code_generation_0086,False,False,False,False
code_generation,code_generation_0097,False,False,False,False
code_generation,code_generation_0101,False,False,False,False
code_generation,code_generation_0103,False,False,False,False
code_generation,code_generation_0104,False,False,False,False
code_generation,code_generation_0109,True,False,True,True
code_generation,code_generation_0110,True,False,True,True
code_generation,code_generation_0111,False,False,False,False
code_generation,code_generation_0115,False,False,False,False
code_generation,code_generation_0117,True,False,True,True
code_generation,code_generation_0118,False,False,False,False
code_generation,code_generation_0119,False,False,False,False
code_generation,code_generation_0120,True,False,True,True
code_generation,code_generation_0122,True,False,False,True
code_generation,code_generation_0124,False,False,False,False
code_generation,code_generation_0127,False,False,True,True
code_generation,code_generation_0130,True,False,True,True
code_generation,code_generation_0133,True,False,True,True
code_generation,code_generation_0141,True,False,True,True
code_generation,code_generation_0150,True,False,True,True
code_generation,code_generation_0151,False,False,False,False
code_generation,code_generation_0152,True,False,True,True
code_generation,code_generation_0160,True,False,True,True
code_generation,code_generation_0161,True,False,True,False
maths,maths_0001,True,False,True,False
maths,maths_0002,True,False,True,False
maths,maths_0005,True,False,True,False
maths,maths_0006,True,False,True,True
maths,maths_0008,True,False,True,False
maths,maths_0009,False,False,False,False
maths,maths_0011,True,False,True,True
maths,maths_0015,True,False,True,False
maths,maths_0016,False,False,False,False
maths,maths_0020,True,False,True,False
maths,maths_0031,False,False,False,False
maths,maths_0037,True,False,True,False
maths,maths_0043,True,False,True,False
maths,maths_0045,True,False,False,False
maths,maths_0052,True,False,False,True
maths,maths_0054,True,False,True,False
maths,maths_0062,True,False,True,False
maths,maths_0067,True,False,True,False
maths,maths_0069,False,False,False,False
maths,maths_0075,True,False,True,True
maths,maths_0079,True,False,True,False
maths,maths_0081,True,False,True,False
maths,maths_0082,True,False,True,True
maths,maths_0084,True,False,True,False
maths,maths_0085,True,False,True,False
maths,maths_0086,True,False,True,True
maths,maths_0087,False,False,False,False
maths,maths_0094,True,False,True,False
maths,maths_0098,True,False,False,False
maths,maths_0105,False,False,False,False
maths,maths_0110,True,False,True,False
maths,maths_0119,True,False,True,True
maths,maths_0121,True,False,True,False
maths,maths_0129,False,False,False,False
maths,maths_0137,True,False,True,True
maths,maths_0142,True,False,True,True
maths,maths_0147,True,False,True,False
maths,maths_0149,True,False,False,False
maths,maths_0153,False,False,False,False
maths,maths_0158,True,False,True,False
maths,maths_0159,True,False,True,False
