example_id,sample_id,difficulty_bin,difficulty_score,input_text,model_size
summarization_0,sample_0,0,1.346023857183145,Summarize: The quick brown fox jumps over the lazy dog. The dog was sleeping peacefully. (Example 1),0.5B
summarization_1,sample_1,0,0.5961797739658694,Summarize article about climate change in 2-3 sentences (Example 2),0.5B
summarization_2,sample_2,0,0.2206517956854132,Summarize the key points of quantum mechanics (Example 3),0.5B
summarization_3,sample_3,0,1.2965143999914648,Give a brief summary of the Industrial Revolution (Example 4),0.5B
summarization_4,sample_4,0,1.1518686873138617,Summarize COVID-19 pandemic timeline (Example 5),0.5B
summarization_5,sample_5,0,0.5192009471828218,Summarize: The quick brown fox jumps over the lazy dog. The dog was sleeping peacefully. (Example 6),0.5B
summarization_6,sample_6,0,0.21490152375248367,Summarize article about climate change in 2-3 sentences (Example 7),0.5B
summarization_7,sample_7,0,0.819047792248077,Summarize the key points of quantum mechanics (Example 8),0.5B
summarization_8,sample_8,0,1.100644827660148,Give a brief summary of the Industrial Revolution (Example 9),0.5B
summarization_9,sample_9,0,0.7230610422768942,Summarize COVID-19 pandemic timeline (Example 10),0.5B
summarization_10,sample_10,0,0.7542661557915314,Summarize: The quick brown fox jumps over the lazy dog. The dog was sleeping peacefully. (Example 11),0.5B
summarization_11,sample_11,0,0.09214568114215815,Summarize article about climate change in 2-3 sentences (Example 12),0.5B
summarization_12,sample_12,0,0.4923400436456053,Summarize the key points of quantum mechanics (Example 13),0.5B
summarization_13,sample_13,0,0.17381758599107905,Give a brief summary of the Industrial Revolution (Example 14),0.5B
summarization_14,sample_14,0,1.0107433269205233,Summarize COVID-19 pandemic timeline (Example 15),0.5B
summarization_15,sample_15,1,2.8063112276831186,Summarize: The quick brown fox jumps over the lazy dog. The dog was sleeping peacefully. (Example 1),0.5B
summarization_16,sample_16,1,3.2799326834395917,Summarize article about climate change in 2-3 sentences (Example 2),0.5B
summarization_17,sample_17,1,2.45162304235114,Summarize the key points of quantum mechanics (Example 3),0.5B
summarization_18,sample_18,1,2.176227481144539,Give a brief summary of the Industrial Revolution (Example 4),0.5B
summarization_19,sample_19,1,2.167448532920499,Summarize COVID-19 pandemic timeline (Example 5),0.5B
summarization_20,sample_20,1,3.226942601235554,Summarize: The quick brown fox jumps over the lazy dog. The dog was sleeping peacefully. (Example 6),0.5B
summarization_21,sample_21,1,2.7136328510604963,Summarize article about climate change in 2-3 sentences (Example 7),0.5B
summarization_22,sample_22,1,2.307738721994714,Summarize the key points of quantum mechanics (Example 8),0.5B
summarization_23,sample_23,1,2.532915210013275,Give a brief summary of the Industrial Revolution (Example 9),0.5B
summarization_24,sample_24,1,3.4307870050820757,Summarize COVID-19 pandemic timeline (Example 10),0.5B
summarization_25,sample_25,1,2.159770693428639,Summarize: The quick brown fox jumps over the lazy dog. The dog was sleeping peacefully. (Example 11),0.5B
summarization_26,sample_26,1,3.346538648388796,Summarize article about climate change in 2-3 sentences (Example 12),0.5B
summarization_27,sample_27,1,2.380972059497095,Summarize the key points of quantum mechanics (Example 13),0.5B
summarization_28,sample_28,1,2.8421777189031703,Give a brief summary of the Industrial Revolution (Example 14),0.5B
summarization_29,sample_29,1,3.137158338065027,Summarize COVID-19 pandemic timeline (Example 15),0.5B
